JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2455937.305,7.7,,,Vis.,ASW,,,,217.02,B20x80,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2455937.7,7.6,,,Vis.,HDH,,75,78,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2455937.97639,7.7,,,Vis.,CKB,,75,79,110530,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2455939.315,7.6,,,Vis.,BLQ,U,,,217.02,NE,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2455939.33,7.7,,,Vis.,PPS,,0,,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2455939.37153,7.5,,,Vis.,KKAA,,73,75,3539bze,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2455939.39236,7.55,,,Vis.,LDS,,,,217.02,10 images per measurement; 200mmlens,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2455939.7,7.4,,,Vis.,GZN,,72,79,5672EUJ,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2455939.737,7.6,,,Vis.,FNAA,,,,217.02,B12x40,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2455939.7604,7.4,,,Vis.,WWJ,,7.2,7.6,971201,15X80,,,Z,,,,Z UMA,,STD,,,,
2455940.4,7.5,,,Vis.,VED,,NA,,NA,,,,Z,,,,Z UMA,AFOEV,STD,,,,
2455940.4028,7.6,,,Vis.,HGUA,,73,79,5749GD,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2455940.4458,7.9,,,Vis.,TOO,,,,217.02,B7x50,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2455940.5319,7.8,,,Vis.,FMR,,72,80,S B 97,,,,Z,,,,Z UMA,,STD,,,,
2455940.59722,7.6,,,Vis.,AAP,,73,75,1072bjv,,,,Z,,,,Z UMA,,STD,,,,
2455940.7,7.53,,,TG,BOA,,NA,,,,0,,Z,,,,Z UMA,AFOEV,STD,,,,
2455940.74306,7.4,,,Vis.,CWP,,7.9,7.3,1102shx,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2455940.7493,7.6,,,Vis.,VFK,,73,79,3722WFU,LEIPZIG 130/650,,,Z,,,,Z UMA,BAV,STD,,,,
2455940.764,8,,,Vis.,MTON,K,D,,BAAVSS  217.02,D-1,,,Z,,,,Z UMA,BAA-VSS,STD,,,,
2455941.1979,7.6,,,Vis.,VFK,,73,79,3722WFU,LEIPZIG 130/650,,,Z,,,,Z UMA,BAV,STD,,,,
2455941.347,7.7,,,Vis.,ASW,,,,217.02,B20x80,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2455941.38,7.9,,,Vis.,BFO,,0,,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2455941.41944,7.7,,,Vis.,WJAA,B,75,78,6043ECT,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2455941.5,7.8,,,Vis.,BRJ,,75,79,1005agc,,,,Z,,,,Z UMa,,STD,,,,
2455941.691,7.61,,,TG,BOA,,NA,,,,0,,Z,,,,Z UMA,AFOEV,STD,,,,
2455941.70764,7.7,,,Vis.,MDP,,75,79,2294gb,,,,Z,,,,Z UMA,RASC,STD,,,,
2455942.28611,7.6,,,Vis.,WJAA,BL,75,78,6043ECT,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2455942.3542,8,,,Vis.,LCR,,76,"""80,83""",AAVSO STANDARD,,,,Z,,,,Z UMA,AASABADELL,STD,,,,
2455942.36,7.9,,,Vis.,PPS,,0,,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2455942.3625,7.6,,,Vis.,HGUA,,73,79,5749gd,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2455942.363,7.7,,,Vis.,SRBR,,NA,,NA,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2455942.39167,7.68,,,Vis.,LDS,,,,217.02,10 images per measurement; 200mmlens,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2455942.4,7.7,,,Vis.,SHS,,75,79,4178nq,,,,Z,,,,Z UMa,AAVSO,STD,,,,
2455942.4382,7.7,,,Vis.,MCDB,,,,217.02,G80x17,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2455942.69,8.1,,,Vis.,HDH,,79,84,999999,,,,Z,,,,Z UMA,MCSE,STD,,,,
2455942.757,8.1,,,Vis.,MTON,K,D,,BAAVSS  217.02,D-2,,,Z,,,,Z UMA,BAA-VSS,STD,,,,
