# Bayo et al, M types from Collinder 69	
# spty = M7.0  (Spectral type)	
#	
wavelength	flux
#     (ANGSTROM)	#    (ERG/CM2/S/A)
7111.893995	1.084378E-17
7113.759624	9.773125E-18
7115.625253	1.046055E-17
7117.490882	1.148993E-17
7119.356511	8.422729E-18
7121.22214	6.695899E-18
7123.087769	5.557659E-18
7124.953398	5.485982E-18
7126.819027	5.828393E-18
7128.684656	6.402651E-18
7130.550285	8.331888E-18
7132.415914	7.604649E-18
7134.281543	6.551112E-18
7136.147172	7.445819E-18
7138.012801	7.321479E-18
7139.87843	7.276531E-18
7141.744059	5.822487E-18
7143.609688	6.115556E-18
7145.475317	6.703544E-18
7147.340946	6.902519E-18
7149.206575	7.08123E-18
7151.072203	7.862319E-18
7152.937832	7.174287E-18
7154.803461	7.41341E-18
7156.66909	7.24712E-18
7158.534719	6.427712E-18
7160.400348	7.284106E-18
7162.265977	8.413796E-18
7164.131606	8.744944E-18
7165.997235	8.745192E-18
7167.862864	8.294904E-18
7169.728493	6.747955E-18
7171.594122	7.968749E-18
7173.459751	1.057049E-17
7175.32538	9.17984E-18
7177.191009	8.311402E-18
7179.056638	1.018168E-17
7180.922267	9.360775E-18
7182.787896	1.085935E-17
7184.653525	1.007704E-17
7186.519154	8.659327E-18
7188.384783	8.954982E-18
7190.250412	8.439382E-18
7192.116041	8.169019E-18
7193.98167	7.939138E-18
7195.847299	7.296367E-18
7197.712928	8.072556E-18
7199.578557	8.966486E-18
7201.444186	8.053239E-18
7203.309815	8.236816E-18
7205.175444	1.03302E-17
7207.041073	1.008178E-17
7208.906701	8.437983E-18
7210.77233	8.285789E-18
7212.637959	1.056598E-17
7214.503588	1.025166E-17
7216.369217	9.823045E-18
7218.234846	1.190262E-17
7220.100475	1.202825E-17
7221.966104	1.104508E-17
7223.831733	1.083098E-17
7225.697362	9.633944E-18
7227.562991	1.140515E-17
7229.42862	1.111853E-17
7231.294249	1.15196E-17
7233.159878	1.254128E-17
7235.025507	1.218193E-17
7236.891136	1.251429E-17
7238.756765	1.164844E-17
7240.622394	1.349882E-17
7242.488023	1.463056E-17
7244.353652	1.59157E-17
7246.219281	1.783706E-17
7248.08491	1.738624E-17
7249.950539	1.520354E-17
7251.816168	1.400303E-17
7253.681797	1.43041E-17
7255.547426	1.380312E-17
7257.413055	1.688146E-17
7259.278684	1.80098E-17
7261.144313	1.662957E-17
7263.009942	1.613732E-17
7264.875571	1.47227E-17
7266.741199	1.513846E-17
7268.606828	1.29696E-17
7270.472457	1.349266E-17
7272.338086	1.627113E-17
7274.203715	1.648697E-17
7276.069344	1.738929E-17
7277.934973	1.693292E-17
7279.800602	1.744193E-17
7281.666231	1.933007E-17
